Unnamed: 0,ticker,security,industry,subindustry,headquarters,added,founded,marketCap
363.0,PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,1971,25899606016.0
364.0,PAYC,Paycom,Information Technology,Application Software,"Oklahoma City, Oklahoma",2020-01-28,1998,16806713344.0
365.0,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20,1998,202582000000.0
366.0,PNR,Pentair plc,Industrials,Industrial Machinery,"Worsley, UK",2012-10-01,,7023425536.0
367.0,PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",2008-11-13,,5095896064.0
368.0,PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",1957-03-04,1898,189722000000.0
369.0,PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,,12293672960.0
370.0,PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland",2011-12-19,2013 (1887),7606264832.0
371.0,PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",1957-03-04,1849,209195000000.0
372.0,PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",2008-03-31,2008 (1847),119665000000.0
373.0,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,2012 (1917),28410075136.0
374.0,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",,1985,9154679808.0
375.0,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008-09-24,,16374534144.0
376.0,PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30,,45406998528.0
377.0,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,1883,26089615360.0
378.0,PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania",,1920,19764922368.0
379.0,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,,12261070848.0
380.0,PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",1957-03-04,1837,311832000000.0
381.0,PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,,51424280576.0
382.0,PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17,,73791733760.0
383.0,PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22,,25564739584.0
384.0,PEG,Public Service Enterprise Group (PSEG),Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,1903,26429018112.0
385.0,PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California",2005-08-19,1972,32399628288.0
386.0,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,1956,11428509696.0
387.0,PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2013-02-15,,3557638400.0
388.0,QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-06-11,2015,12806333440.0
389.0,PWR,Quanta Services Inc.,Industrials,Construction & Engineering,"Houston, Texas",2009-07-01,,5599480320.0
390.0,QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",,1985,99995033600.0
391.0,DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",2002-12-12,,16715162624.0
392.0,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2007-02-02,,5191449088.0
393.0,RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,,9882676224.0
394.0,RTX,Raytheon Technologies,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,1922,94045986816.0
395.0,O,Realty Income Corporation,Real Estate,Retail REITs,"San Diego, California",2015-04-07,,19718946816.0
396.0,REG,Regency Centers Corporation,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-02,,6778374144.0
