,ticker,security,industry,subindustry,headquarters,added,founded
493,WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31,1908
494,WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",2016-01-05,2016
495,WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008-11-14,2002
496,XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1957-03-04,1909
497,XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,1906
498,XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California",1999-11-08,1984
499,XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",2011-11-01,2011
500,YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1997
501,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019-12-23,1969
502,ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana",2001-08-07,1927
503,ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",2001-06-22,1873
504,ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21,1952
